term,source,es,nes,nom_p_value,fdr_q_value,tag_pct,gene_pct,lead_genes
anaphase-promoting complex-dependent catabolic process (GO:0031145),GO_Biological_Process_2021,0.19601545124610734,0.7546587818406661,0.9112426035502958,0.9357345822870256,13/48,18.52%,Mad2l1;Psmd6;Psmd5;Psma6;Psmb10;Psmb4;Psme3;Psma8;Rps27a;Psmb9;Psmb7;Psmb3;Cdc26
positive regulation of protein metabolic process (GO:0051247),GO_Biological_Process_2021,0.24316856020762348,0.7588209081310134,0.8270042194092827,0.9359698830325461,4/23,9.91%,Tgfb1;Gba;Sec22b;Rock2
response to reactive oxygen species (GO:0000302),GO_Biological_Process_2021,0.23257697588045412,0.7138218438661389,0.889795918367347,0.9453007175592032,2/19,6.24%,Adam9;Sod1
regulation of endothelial cell migration (GO:0010594),GO_Biological_Process_2021,0.2539021852237253,0.7271645233762102,0.8217054263565892,0.9470627502562787,16/16,74.82%,Prcp;Rock2;Rac1;Grn;Glul;Thbs1;Nrp1;Smoc2;Vegfa;Calr;Dcn;Gpi;Apoe;Sparc;Pdcd6;Agt
positive regulation of cell projection organization (GO:0031346),GO_Biological_Process_2021,0.2337236188012819,0.7155597206471642,0.8739837398373984,0.9486471752790291,3/18,10.01%,Plxnb2;Stmn2;Dpysl3
protein processing (GO:0016485),GO_Biological_Process_2021,0.24371285598339545,0.7292286017165106,0.8531468531468531,0.950270438165878,2/17,8.26%,Adam17;Mmp14
regulation of inflammatory response (GO:0050727),GO_Biological_Process_2021,0.22427918576201303,0.7176841513734307,0.9070796460176991,0.9521175142495031,4/27,11.15%,Gba;Psma6;Nmi;Snx6
Rap1 signaling pathway,KEGG_2019_Mouse,0.21406199761335243,0.7008584009237908,0.9205607476635514,0.9528156108764154,1/28,0.62%,Rap1b
regulation of neuron projection development (GO:0010975),GO_Biological_Process_2021,0.2373493712536256,0.730240387178197,0.8688524590163934,0.9544543221882784,4/19,13.00%,Plxnb2;Stmn2;Dpysl3;Cdh2
Salmonella infection,KEGG_2019_Mouse,0.22350190964344052,0.6913472056631984,0.9079497907949791,0.9564720139191344,5/24,14.60%,Cxcl1;Rock2;Actb;Rac1;Arpc4
defense response to bacterium (GO:0042742),GO_Biological_Process_2021,0.23781850172308566,0.7328061110166124,0.856,0.9572274139621705,2/21,6.60%,Adam17;Ang
cellular component disassembly (GO:0022411),GO_Biological_Process_2021,0.21544339070601248,0.6753809446318513,0.9169960474308301,0.9587500836848095,3/23,9.03%,Mmp14;Htra1;Adamts4
extracellular matrix disassembly (GO:0022617),GO_Biological_Process_2021,0.21544339070601248,0.6753809446318513,0.9169960474308301,0.9587500836848095,3/23,9.03%,Mmp14;Htra1;Adamts4
regulation of angiogenesis (GO:0045765),GO_Biological_Process_2021,0.18970047293746706,0.6409485741557588,0.96875,0.9709734732028366,35/35,81.37%,Sulf1;Rock2;Stat1;Tgfb2;Ctsh;Adamts1;Grn;Hmox1;Gtf2i;Glul;Thbs2;Hspg2;Thbs1;Ecm1;Col4a2;Smoc2;Vegfa;Cd34;Ago2;Pf4;Dcn;Mydgf;Emilin1;Itgb1;Hspb1;Serpine1;Chi3l1;Sema3e;Sparc;Jup;Pdcd6;Serpinf1;Rnh1;Pgk1;Sema5a
positive regulation of cell growth (GO:0030307),GO_Biological_Process_2021,0.20084634290673292,0.6443950526917119,0.9626556016597511,0.9744165273152767,4/24,10.27%,Adam17;Plaa;Mmp14;Macf1
negative regulation of cell motility (GO:2000146),GO_Biological_Process_2021,0.20646276212192616,0.6063663403511482,0.9725490196078431,0.9823573763906769,3/19,10.01%,Sulf1;Arpin;Dpysl3
Adherens junction,KEGG_2019_Mouse,0.17641069256806566,0.5113726883532673,0.986159169550173,0.9946334605342438,7/17,27.04%,Actb;Rac1;Csnk2b;Ctnnd1;Cdc42;Egfr;Vcl
positive regulation of growth (GO:0045927),GO_Biological_Process_2021,0.18580925123471462,0.5412149048280686,0.9884615384615385,0.9954914990787394,2/17,8.26%,Adam17;Mmp14
nuclear export (GO:0051168),GO_Biological_Process_2021,-0.18547201870571373,-0.49004446551006103,0.9908376963350786,0.9962995174014935,4/24,23.68%,Alyref;Tpr;Eif4e;Eif4a3
protein localization to nucleus (GO:0034504),GO_Biological_Process_2021,-0.19269478136360915,-0.4968060092809009,0.9832041343669251,0.9980758718220366,7/21,33.44%,Tpr;Hnrnpu;Gbp2;Ipo4;Ipo5;Ipo7;Sec13
regulation of cell-matrix adhesion (GO:0001952),GO_Biological_Process_2021,-0.2244595827813945,-0.5457974735180172,0.9741144414168937,0.9987016542328706,6/16,37.56%,Slk;Jag1;Dusp3;Jup;Sema3e;Cx3cl1
innate immune response (GO:0045087),GO_Biological_Process_2021,-0.14280008702891767,-0.36958436958846,1.0,0.9997610055802942,5/23,36.48%,Hmgb1;Ptx3;Capza2;Capza1;Ppp1r14b
