accession,gene,detected_in,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581
Q8BMB3,Eif4e2,treated_only,0.0,0.0,,
Q8BMF5,Grik4,treated_only,11198000.0,1168600000.0,,
Q8BPB0,Mob1b,treated_only,41175000.0,44136000.0,,
Q8BPB0;Q921Y0,Mob1b;Mob1a,control_only,,,524710000.0,635210000.0
Q8BR90,,treated_only,167230000.0,58062000.0,,
Q8BT51,COA4,treated_only,8313900.0,3247200.0,,
Q8BTG6,,treated_only,34048000.0,18438000.0,,
Q8BTU1,Cfap20,treated_only,39469000.0,2634600.0,,
Q8BTZ7,Gmppb,treated_only,36525000.0,0.0,,
Q8BU31;Q80ZJ1;P61226,Rap2c;Rap2a;Rap2b,treated_only,8590000.0,15495000.0,,
Q8BUY9,Pggt1b,treated_only,47638000.0,51425000.0,,
Q8BW94,Dnah3,control_only,,,444960000.0,0.0
Q8BWG8,Arrb1,treated_only,0.0,46905000.0,,
Q8BWU5,Osgep,control_only,,,67434000.0,19900000.0
Q8BWY4,Mblac1,treated_only,4102000.0,0.0,,
Q8BXK9,Clic5,treated_only,19606000.0,0.0,,
Q8BYB9,Poglut1,treated_only,20154000.0,9424900.0,,
Q8BYK8,Zc3h6,control_only,,,398270000.0,317590000.0
Q8BZ25,Ankk1,treated_only,448170000.0,687700000.0,,
Q8BZA9,Tigar,treated_only,0.0,0.0,,
Q8BZB2,Ppcdc,control_only,,,0.0,5091300.0
Q8BZF8,Pgm5,control_only,,,10268000.0,145020000.0
Q8BZM1,Glmn,treated_only,8324800.0,0.0,,
Q8C0N1,Kif2b,treated_only,0.0,0.0,,
Q8C5P7,Tdrp,control_only,,,5000200.0,0.0
Q8C6I2,Sdhaf2,treated_only,16787000.0,15068000.0,,
Q8CAK1,Iba57,control_only,,,17419000.0,14267000.0
Q8CAK3,,treated_only,54259000.0,21501000.0,,
Q8CC36,Cdnf,treated_only,7763600.0,0.0,,
Q8CC86,Naprt,control_only,,,0.0,60999000.0
Q8CDI6,Ccdc158,control_only,,,0.0,308200000.0
Q8CE96,Trmt6,control_only,,,2589000.0,0.0
Q8CF66,Lamtor4,treated_only,20006000.0,0.0,,
Q8CFE2,,treated_only,67348000.0,12290000.0,,
Q8CG70,Leprel2,control_only,,,32105000.0,46241000.0
Q8CGC7,Eprs,treated_only,7539700.0,9000000.0,,
Q8CGK3,Lonp1,treated_only,0.0,3929100.0,,
Q8CGP2;Q64475;P10853;Q8CGP1;Q9D2U9;Q8CGP0;Q64524,Hist1h2bp;Hist1h2bb;Hist1h2bf;Hist1h2bk;Hist3h2ba;Hist3h2bb;Hist2h2be,treated_only,28007000.0,4545300.0,,
Q8CGP2;Q8CGP1;Q64475;P10853,Hist1h2bp;Hist1h2bk;Hist1h2bb;Hist1h2bf,control_only,,,21660000.0,195650000.0
Q8CGP6;Q8CGP7;Q8CGP5;Q8BFU2;P22752,Hist1h2ah;Hist1h2ak;Hist1h2af;Hist3h2a;Hist1h2ab,control_only,,,484550000.0,2273800000.0
Q8CGR7,Upp2,control_only,,,47807000.0,10687000.0
Q8CHP5,Wibg,treated_only,11855000.0,2113300.0,,
Q8CI51,Pdlim5,treated_only,21705000.0,195030000.0,,
Q8CIF4,Btd,treated_only,189620000.0,113300000.0,,
Q8CIN4;Q61036,Pak2;Pak3,control_only,,,184940000.0,169280000.0
Q8CIN4;Q61036;O88643,Pak2;Pak3;Pak1,treated_only,126920000.0,118640000.0,,
Q8CIT9,Sbsn,treated_only,3104500.0,0.0,,
Q8CIV8,Tbce,control_only,,,2590900000.0,1546500000.0
Q8CJ69,Bmper,treated_only,44618000.0,23150000.0,,
Q8CJG1;Q8CJF9,Ago1;Ago3,treated_only,45170000.0,43136000.0,,
Q8CJG1;Q8CJF9;Q8CJF8,Ago1;Ago3;Ago4,control_only,,,25091000.0,0.0
Q8JZQ2,Afg3l2,treated_only,130030000.0,171330000.0,,
Q8K019,Bclaf1,control_only,,,6342600.0,0.0
Q8K0J2,B3gnt7,treated_only,0.0,43473000.0,,
Q8K1L5,Ppp1r11,treated_only,56289000.0,0.0,,
Q8K1S6,Spire2,treated_only,0.0,12628000.0,,
Q8K248,Hpdl,treated_only,7142100.0,0.0,,
Q8K2D6,Dctd,treated_only,3476000.0,0.0,,
Q8K2H2,Otud6b,treated_only,0.0,7112800.0,,
Q8K2Q7,Brox,treated_only,0.0,55672000.0,,
Q8K2U2,Alkbh6,treated_only,25375000.0,0.0,,
Q8K2V6,Ipo11,control_only,,,23675000.0,0.0
Q8K2Y7,Mrpl47,control_only,,,10753000.0,0.0
Q8K2Z8;Q7TSS2,Ube2q2;Ube2q1,treated_only,72499000.0,0.0,,
Q8K353,Cystm1,control_only,,,0.0,15151000.0
Q8K370,Acad10,treated_only,32105000.0,0.0,,
Q8K3H0,Appl1,treated_only,0.0,19682000.0,,
Q8K3I8,Defb19,control_only,,,1279500.0,0.0
Q8K441,Abca6,control_only,,,42849000.0,48266000.0
Q8QZT1,Acat1,treated_only,116200000.0,25193000.0,,
Q8R010,Aimp2,control_only,,,0.0,18423000.0
Q8R086,Suox,treated_only,0.0,21420000.0,,
Q8R0A0,Gtf2f2,treated_only,0.0,16939000.0,,
Q8R0A5;Q8CCT4,Tceal3;Tceal5,treated_only,63785000.0,7485000.0,,
Q8R1G6,Pdlim2,control_only,,,4363900.0,3285300.0
Q8R1M2,H2afj,treated_only,145100000.0,239260000.0,,
