© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
OX40 Signaling Pathway	-0E00	2.07E-03	NaN	HLA-A	
PI3K Signaling in B Lymphocytes	-0E00	5.01E-03	NaN	CD81,MAPK1,PLCD1	
P2Y Purinergic Receptor Signaling Pathway	-0E00	2.84E-02	NaN	GNB1,GNG12,MAPK1,PLCD1	
IL-17A Signaling in Airway Cells	-0E00	2.94E-02	NaN	MAPK1,MAPK14	
Role of JAK2 in Hormone-like Cytokine Signaling	-0E00	1.54E-02	NaN	STAT1	
Role of JAK1 and JAK3 in γc Cytokine Signaling	-0E00	2.9E-02	NaN	MAPK1,STAT1	
NGF Signaling	-0E00	1.65E-02	NaN	BAX,MAPK1	
Hematopoiesis from Pluripotent Stem Cells	-0E00	2.22E-03	NaN	LIF	
eNOS Signaling	-0E00	1.24E-02	NaN	CASP3,HSP90AA1	
nNOS Signaling in Neurons	-0E00	2E-02	NaN	CAPN2	
VEGF Family Ligand-Receptor Interactions	-0E00	1.16E-02	NaN	MAPK1	
ERBB Signaling	-0E00	3.23E-02	NaN	EGFR,MAPK1,MAPK14	
ERB2-ERBB3 Signaling	-0E00	1.56E-02	NaN	MAPK1	
GDNF Family Ligand-Receptor Interactions	-0E00	2.63E-02	NaN	MAPK1,PDLIM7	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00	1.59E-02	NaN	EXT2	
Nicotine Degradation III	-0E00	2.7E-02	NaN	AOX1,EXT2	
Androgen Biosynthesis	-0E00	3.12E-02	NaN	Gsta3	
tRNA Splicing	-0E00	2.27E-02	NaN	PDE6D	
Melatonin Degradation I	-0E00	1.18E-02	NaN	EXT2	
Pyridoxal 5'-phosphate Salvage Pathway	-0E00	1.49E-02	NaN	MAPK1	
Triacylglycerol Degradation	-0E00	1.56E-02	NaN	ADPRS	
Phospholipases	-0E00	2.67E-02	NaN	PLA2G15,PLCD1	
Chondroitin Sulfate Biosynthesis	-0E00	1.35E-02	NaN	XYLT1	
Dermatan Sulfate Biosynthesis	-0E00	1.32E-02	NaN	XYLT1	
Nicotine Degradation II	-0E00	2.35E-02	NaN	AOX1,EXT2	
Retinol Biosynthesis	-0E00	1.85E-02	NaN	Akr1b7	
Superpathway of Melatonin Degradation	-0E00	1.1E-02	NaN	EXT2	
Oxidative Ethanol Degradation III	-0E00	3.08E-02	NaN	ALDH1A2,ALDH1L1	
DNA damage-induced 14-3-3σ Signaling	-0E00	2.17E-02	NaN	CASP3	
Gαi Signaling	-0E00	2.05E-02	NaN	GNB1,GNG12,MAPK1	
Gαq Signaling	-0E00	1.79E-02	NaN	GNB1,GNG12,MAPK1	
Gαs Signaling	-0E00	2.36E-02	NaN	GNB1,GNG12,MAPK1	
Sperm Motility	-0E00	2.26E-02	NaN	DDR1,EGFR,GNB1,GNG12,PLA2G15,PLCD1	
TEC Kinase Signaling	-0E00	1.04E-02	-1.000	ACTB,GNB1,GNG12,ITGA3,ITGB1,STAT1	
Adipogenesis pathway	-0E00	2.9E-02	0.000	FABP4,HAT1,RBBP7,TGFB1	
PCP (Planar Cell Polarity) Pathway	-0E00	1.67E-02	NaN	EFNB1	
WNT/Ca2+ Signaling Pathway	-0E00	2.74E-02	NaN	PDE6D,PLCD1	
SAPK/JNK Signaling	-0E00	7.95E-03	NaN	CRKL,GNB1,GNG12,HNRNPK	
Nitric Oxide Signaling in the Cardiovascular System	-0E00	1.67E-02	NaN	HSP90AA1,MAPK1	
IL-2 Signaling	-0E00	3.17E-02	NaN	CSNK2B,MAPK1	
JAK/STAT Signaling	-0E00	2.41E-02	NaN	MAPK1,STAT1	
IL-4 Signaling	-0E00	2.95E-02	0.728	COL11A1,COL12A1,COL15A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,Col6a4,COL7A1,MAPK1,MAPK14,TGFB1,TGFB3	
B Cell Receptor Signaling	-0E00	3.13E-03	NaN	MAPK1,MAPK14	
Neurotrophin/TRK Signaling	-0E00	1.28E-02	NaN	MAPK1	
cAMP-mediated signaling	-0E00	1.25E-02	NaN	MAPK1,PALM2AKAP2,PDE6D	
Glutamate Receptor Signaling	-0E00	2.94E-02	NaN	GNB1,GNG12	
NF-κB Signaling	-0E00	8.74E-03	0.000	CSNK2B,EGFR,TNFRSF1B,UBE2N,UBE2V1	
T Cell Receptor Signaling	-0E00	8.04E-03	1.342	HLA-A,ITGA3,ITGB1,MAPK1,MAPK14	
G-Protein Coupled Receptor Signaling	-0E00	1.27E-02	0.707	CELSR3,GNB1,GNG12,MAPK1,MAPK14,MYL12B,MYL9,MYLK,PDE6D	
BMP signaling pathway	-0E00	3.33E-02	NaN	FST,MAPK1,MAPK14	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	1.2E-02	NaN	PLCD1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	1.59E-02	NaN	GNG12,PLCD1	
Phagosome Formation	-0E00	3.11E-02	2.236	ACTR3,AP1G1,AP1M1,AP1S1,AP1S2,ARPC1A,ARPC2,ARPC5,CELSR3,COLEC12,CRKL,ITGA3,ITGB1,MAPK1,MRC2,MYH11,MYH9,MYL12B,MYL9,MYLK,PLA2G15,TLN1	
Macropinocytosis Signaling	-0E00	2.63E-02	NaN	ANKFY1,ITGB1	
Sumoylation Pathway	-0E00	2.97E-02	NaN	ARHGDIB,SERBP1,SUMO2	
Th1 Pathway	-0E00	3.2E-02	1.000	HLA-A,LGALS9,NCSTN,STAT1	
Neuroinflammation Signaling Pathway	-0E00	3.33E-02	1.265	CASP3,CCL2,HLA-A,HMGB1,IRF3,MAPK1,MAPK14,NCSTN,STAT1,TGFB1,TGFB3	
Opioid Signaling Pathway	-0E00	1.37E-02	NaN	AP2M1,GNB1,GNG12,MAPK1	
Adrenomedullin signaling pathway	-0E00	2.87E-02	1.000	BAX,CASP3,MAPK1,MAPK14,MYLK,PLCD1	
Th17 Activation Pathway	-0E00	2.04E-03	NaN	HSP90AA1	
SPINK1 Pancreatic Cancer Pathway	-0E00	1.54E-02	NaN	TGFB1	
Endocannabinoid Neuronal Synapse Pathway	-0E00	3.18E-02	2.000	GNB1,GNG12,MAPK1,MAPK14,PLCD1	
Endocannabinoid Cancer Inhibition Pathway	-0E00	2.04E-02	NaN	CASP3,MAPK1,MAPK14	
Apelin Endothelial Signaling Pathway	-0E00	2.76E-02	NaN	CCL2,GNB1,GNG12,MAPK1	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	2.58E-02	1.387	EIF4E,GNB1,GNG12,IL1RL1,ITGA3,ITGB1,LIF,MAPK1,MAPK14,PDE6D,PLCD1,TGFB1,TGFB3,TNFRSF1B	
T Cell Exhaustion Signaling Pathway	-0E00	1.76E-02	0.000	HLA-A,IFNAR2,LGALS9,MAPK1,PPM1L,PPP2CA,PPP2CB,PTPA,STAT1,TGFB1	
Systemic Lupus Erythematosus in T Cell Signaling Pathway	-0E00	1.09E-02	-0.378	CASP3,HLA-A,MAPK1,PPM1L,PPP2CA,PPP2CB,PTPA	
Systemic Lupus Erythematosus in B Cell Signaling Pathway	-0E00	9.62E-03	-0.378	IFNAR2,IRF3,LIF,MAPK1,STAT1,TGFB1,TGFB3	
White Adipose Tissue Browning Pathway	-0E00	2.07E-02	NaN	LDHD,MAPK1,MAPK14	
Xenobiotic Metabolism General Signaling Pathway	-0E00	3.07E-02	0.000	Gsta3,GSTK1,MAPK1,MAPK14,NQO2	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	-0E00	3.09E-02	0.000	EGFR,MAPK1,MAPK14,TGFB1,TGFB3,TNFRSF1B	
MSP-RON Signaling in Macrophages Pathway	-0E00	1.67E-02	NaN	MAPK1,STAT1	
Calcium Signaling	-0E00	2.29E-02	NaN	MAPK1,MYH11,MYH9,MYL9,TPM3	
