© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Workspace	My Projects
Project	Testosterone Proteomics 2026-08
Analysis	Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Date	Thu Aug 13 17:04:22 PDT 2026
Analysis ID	43610731

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
CAV1	transmembrane receptor	2	 	 	0.000	1.97E-09	1.30E-02	ADAM17,AKT (family),AR,BCL2,CAV1,CDC42,CREB (family),EGR1,FGFR1,FOXO3,GSK3B,HMGA1,IGF1R,IRS1,MAPK1,MTOR,MYC,NFKB (complex),NFKBIA,NOS2,NTRK1,P38 MAPK (family),POU5F1,PTEN,PTGS2,RB1,SMAD2/3 (family),STAT1,STAT3,TP53	 	94 (30)	30	2-deoxyglucose,5-iodotubercidin,8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate,APOE,CD276,decitabine,EGLN1,ESR2,FGF9,FOXO1,FOXO3:CAV1 gene,INSULIN (family),INTEGRIN (complex),MAPK9,NRG1,oxysterol,pioglitazone,SAN 58035,ST6GAL1,TEK,TGFB1,TRG	AICAR,ARHGAP18,colchicine,CRK,GNB1,heteronemin,HRAS,huaier extract granule,ITGB1,mir-103 (includes others),MYCN,NDRG1,NF2,NOSTRIN,PTPN2,SPRY2,tetraiodothyroacetic acid	 	ACE2,ADAM17,ADIPOQ,BAX,BID,CDKN1A,DNM2,GRM1,MYD88,NEU3,NTRK2,reactive oxygen species,SOX2,TNC,VCAM1,VIM,ZEB1	CASP3,CDC42,CSN2,FGFR1,IFNB1,IL1B,MAPK (family),MAPK1,NTRK1,peroxynitrite,PP1 (complex),PRKAA (family),PRKACA,PTGS2,RAC (family),SKIL,SNAI2,THIOREDOXIN REDUCTASE (family)	 	 	 	 	
MYH3	enzyme	3	 	 	0.000	1.97E-09	8.20E-03	AKT (family),AKT1,CTNNB1,EGFR,ERK1/2 (family),IRF3,JINK1/2 (family),JUN,MAP2K1/2 (family),MTOR,MYH3,NFKB (complex),NLRP3,RAC1,RAF1,SMAD2,SMAD2/3 (family),SMAD3,STAT3,TEAD1,TEAD2,TEAD3,TEAD4,TP73,YAP1	 	76 (25)	25	ESR2	IL1B,SNAI2,ZEB1	 	AMOT,COL12A1,MOB1A,VIM	CCN2,YAP1	 	 	 	 	
CD19	transmembrane receptor	2	 	 	0.000	2.00E-09	2.00E-03	AKT (family),AKT1,CD19,ERK (family),ERK1/2 (family),JNK (family),LYN,MAP2K1,MAPK1,MAPK8,MAPK9,MYC,PI3K (complex),PI3K (family),PRKD1,STAT1,VAV2	 	60 (17)	16	CD81,CXCR4,KAT2A,MHC I (family),PAX5	hydroxypropyl-beta-cyclodextrin	 	ERK1/2 (family),IL17A,MAP2K1,MAPK1,MAPK9,PIK3AP1,VAV2	 	 	 	 	 	
ANKHD1	other	3	 	 	0.000	2.05E-09	9.20E-03	ACHE,AKT (family),AKT1,ANKHD1,ATF2,ATM,BAP1,BCL2,CCND1,CDKN1B,CEBPB,CHEK2,CHUK,CREB (family),CREB1,disulfiram,E2F1,EGFR,EIF4E,ESR1,ESR2,EZH2,FOXC1,FOXM1,HIF1A,HSF1,IGF1R,IKBKB,IKBKG,IRS1,IRS2,JUN,KDM5A,LEF1,MAPK1,MCOLN1,MED1,MTOR,MYC,MYO5A,NFE2L2,NFKBIA,NR3C1,NR4A1,NRF1,P38 MAPK (family),POU5F1,PPARD,PPARGC1A,PRDM1,PTEN,RAF1,RASSF1,RPS6KA1,SIRT1,SMAD2/3 (family),SMARCA4,SOD2,SREBF1,STAT3,STK11,TAL1,THRA,TP63,TXNIP,VEGF (family),YAP1,ZEB1	 	120 (68)	67	 	 	 	CCN2,CHEK2,RAD50,YAP1	mir-29 (includes others)	 	 	 	 	
zileuton	chemical drug	3	 	 	0.000	2.08E-09	7.20E-03	2-amino-1-methyl-6-phenylimidazo-4-5-b-pyridine,ACHE,aflatoxin B1,AKT (family),AKT1,ALOX5,AR,ARG1,BCL2,benzene,benzo(a)pyrene,CCND1,CDKN1B,CEBPB,CREB (family),CYP1A2,CYP2B6,CYP2C9,CYP2E1,dacarbazine,disulfiram,EGFR,ESR1,ESR2,EZH2,FOXC1,FOXO3,GSK3B,HIF1A,HSF1,IRS1,IRS2,JUN,KDM5A,MAP3K8,MAPK1,MPO,MTOR,MYC,MYO5A,NFE2L2,NLRP3,NR4A1,NRF1,P38 MAPK (family),PLG,POU5F1,PPARD,PPARG,PPARGC1A,PPIA,PTEN,RPS6KA1,SECRETASE GAMMA (complex),SERPINE1,SMAD2/3 (family),SREBF1,STAT3,STK11,TAL1,TGFB1,THRA,TP73,trichloroethylene,TXNIP,urethane,VEGF (family),YAP1,zileuton	 	120 (69)	64	 	 	 	PTGS2	ALOX5,CYSLTR1,ERK1/2 (family),IL17A,MAPK1,reactive oxygen species,SECRETASE GAMMA (complex)	 	 	 	 	
Tripterygium wilfordii extract	chemical drug	3	 	 	0.000	2.09E-09	6.60E-03	AKT (family),ATM,BCL2,BIRC7,CASP3,DICER1,EGFR,EIF2AK2,ERK1/2 (family),FOXO1,GSDME,GSK3B,H2AX,IL18,IRS1,IRS2,MAPK8,MTOR,MYC,NFKB (complex),NOS2,PTEN,PTGS2,RELA,SARM1,STAT1,STAT4,TLR3,Tripterygium wilfordii extract	 	80 (29)	28	 	 	 	CASP3	 	 	 	 	 	
carotenoid	chemical drug	3	 	 	0.000	2.09E-09	2.74E-02	26S PROTEASOME (complex),AKT (family),ALOX5,BAX,carotenoid,CREB (family),CREB1,EGFR,EGLN (family),EIF2AK3,ERK1/2 (family),ERN1,FOXO3,GAPDH,GSK3B,HDAC (family),HIF1A,ID3,JNK (family),JUN,MAPK8,MAPK9,MEK (family),MMP (family),MMP2,NFKB (complex),P38 MAPK (family),PI3K (complex),PPARG,PRKCD,PTEN,RAF1,reactive nitrogen species,reactive oxygen species,ROCK2,SIRT1,SMAD2/3 (family),SNAI1,SOD2,STAT1,STAT3,sulforafan,TGF BETA (family),TGFB1,TNF,TP53,TXNIP,TYK2,VEGF (family)	 	108 (49)	46	 	 	 	 	reactive oxygen species	 	 	 	 	
FOXO1/3/4 (family)	group	3	 	 	0.000	2.11E-09	1.29E-02	26S PROTEASOME (complex),AKT (family),AKT1,AR,ATF4,CALCINEURIN (complex),CDKN1A,CDKN1B,CTNNB1,EGFR,ESR1,FOXO1,FOXO1/3/4 (family),FOXO3,FOXO4,HIF1A,IRS1,JUN,MAPK1,MLXIPL,MTOR,NR1I2,P70 S6K (family),PPARG,PPRC1,RB1,SIRT1,SOD2	 	91 (28)	27	 	 	 	IGF1R	 	 	 	 	 	
arformoterol	chemical drug	3	 	 	0.000	2.13E-09	8.00E-03	ACHE,ADRB2,AKT (family),AKT1,arformoterol,BCL2,CCND1,CDKN1B,CEBPB,CREB (family),disulfiram,EGFR,ESR1,ESR2,FOXC1,FOXO3,GNAS,GSK3B,HIF1A,HRAS,HSF1,INSR,IRS1,JUN,KDM5A,LEF1,MAP3K8,MED1,MTOR,MYC,MYO5A,NFE2L2,NLRP3,NR3C1,NR4A1,NRF1,P38 MAPK (family),PI3K (complex),POU5F1,PPARD,PPARG,PPARGC1A,PPIA,PTEN,RPS6KA1,SMAD2/3 (family),SREBF1,STAT3,STK11,THRA,TNF,TP53,TP73,TXNIP,VEGF (family),YAP1	 	119 (56)	55	 	 	 	 	 	 	 	 	 	
FOXO1,FOXO3,(FOXO4):CCNG2 gene	complex	3	 	 	0.000	2.13E-09	1.29E-02	26S PROTEASOME (complex),AKT (family),AKT1,AR,ATF4,CALCINEURIN (complex),CDKN1A,CDKN1B,CTNNB1,EGFR,ESR1,FOXO1,FOXO1,FOXO3,(FOXO4):CCNG2 gene,FOXO3,FOXO4,HIF1A,IRS1,JUN,MAPK1,MLXIPL,MTOR,NR1I2,P70 S6K (family),PPARG,PPRC1,RB1,SIRT1,SOD2	 	91 (28)	27	 	 	 	CCNG2	 	 	 	 	 	
mir-34 (includes others)	microRNA	2	 	 	0.000	2.15E-09	5.90E-03	AKT (family),BCL2,CASP3,JAK1,mir-34 (includes others),MYCN,RB (family),RELA,SNAI1,SOX2,TP53	 	69 (11)	11	10-hydroxy-2-decenoic acid,AGT,ALOX5,cannabinol,decitabine,doxorubicin,IFNB1,IGF1R,INSR,NF2,oxaliplatin,palmitic acid,rebemadlin,sirolimus,SSB	lithium,propranolol,TGFB1,XIST	 	CASP3,reactive oxygen species	AXL,BAX,BIRC5,CDC25A,CDC42,CDK4/6 (family),CHEK2,CLOCK,EMP1,FGFR1,LIN28A,MARCKS,MBL2,MYCN,NOTCH1,NRIP1,PDK1,SNAI2,SOX2,VIM,ZEB1	 	 	 	 	
hydroxyfasudil	chemical reagent	3	 	 	0.000	2.17E-09	3.76E-02	AHR,AKT (family),AKT1,APP,BRCA1,CREB1,CTNNB1,CYP19A1,EGF,EGFR,ESR1,ESR2,G PROTEIN ALPHA I (family),GATA1,hydroxyfasudil,IGF1R,MAPK1,MMP (family),MMP2,NCOA1,NR1H4,PGR,PI3K (complex),PKC (family),SMAD2,SP1,STAT1,STAT3,STAT5B,STK11,tamoxifen,TP53,YAP1	 	109 (33)	32	 	 	 	 	 	 	 	 	 	
THIOREDOXIN REDUCTASE (family)	group	3	 	 	0.000	2.19E-09	1.67E-02	AKT (family),BCL2,CD247,doxorubicin,EGFR,F3,HIF1A,IL4,INSR,IRS1,MAPK1,MAPK14,MAPK8,NFE2L2,NFKBIA,NOS2,NOS3,P38 MAPK (family),PRKG1,PTEN,RPS6KA1,SMAD3,STAT3,THIOREDOXIN REDUCTASE (family),TP53,TXN,TXNRD1,ZAP70	 	93 (28)	26	 	antimycin A,CAV1,reactive oxygen species	 	 	 	 	 	 	 	
ESRRA:PPARG1CA:RUNX2 gene	complex	3	 	 	0.000	2.21E-09	3.59E-02	AKT (family),BACE1,CEBPB,CYP19A1,ERK1/2 (family),ESR1,ESR2,ESRRA,ESRRA:PPARG1CA:RUNX2 gene,ESRRG,GSK3B,HIF1A,HNF4A,IRS1,JNK (family),MTOR,NFE2L2,NOTCH1,NR1H4,NR3C1,NRF1,P38 MAPK (family),PPARA,PPARD,PPARG,PPARGC1A,RUNX2,RXRA,SMAD2/3 (family),T3/TR/RXR (complex),TFAM,TP53	 	108 (32)	31	 	 	 	 	 	 	 	 	 	
GPR50	G-protein coupled receptor	3	 	 	0.000	2.21E-09	1.77E-02	ACHE,AKT (family),AKT1,BCL2,CCND1,CDKN1B,CEBPB,CHUK,CREB (family),CREB1,disulfiram,EGFR,ESR1,ESR2,FOXC1,GPR50,GSK3B,HIF1A,HMGA1,HSF1,INSR,INSULIN (family),IRS1,IRS2,JUN,LEF1,MAP3K8,MAPK1,MED1,MEK (family),MTOR,MYC,MYO5A,NFE2L2,NFKBIA,NLRP3,NR4A1,NRF1,P38 MAPK (family),PI3K (complex),POU5F1,PPARD,PPARGC1A,PPIA,PTEN,RPS6KA1,SMAD2/3 (family),SREBF1,STAT3,STK11,TAL1,THRA,TP53,TP73,TXNIP,VEGF (family),YAP1	 	121 (57)	56	 	 	 	 	 	 	 	 	 	
NDNF	other	3	 	 	0.000	2.21E-09	1.82E-02	ACHE,AKT (family),AKT1,BCL2,CCND1,CDKN1B,CEBPB,CHUK,CREB (family),disulfiram,doxorubicin,EGFR,ESR1,ESR2,EZH2,FOXC1,FOXO3,GSK3B,HIF1A,HSF1,INSR,IRS1,JUN,KDM5A,LEF1,MAP3K8,MAPK1,MED1,MTOR,MYC,MYO5A,NDNF,NFE2L2,NFKBIA,nitric oxide,NLRP3,NOS3,NR4A1,NRF1,POU5F1,PPARD,PPARGC1A,PPIA,PRKG1,PTEN,RPS6KA1,SMAD2/3 (family),SREBF1,STAT3,STK11,TAL1,THRA,TP53,TP73,TXNIP,VEGF (family),YAP1	 	121 (57)	56	CHD4	FGF1	 	 	 	 	 	 	 	
relaxin	chemical drug	3	 	 	0.000	2.21E-09	1.84E-02	ACHE,AKT (family),AKT1,BCL2,CCND1,CDKN1B,CEBPB,CHUK,CREB (family),disulfiram,doxorubicin,EGFR,ESR1,ESR2,EZH2,FOXC1,FOXO3,GSK3B,HIF1A,HSF1,INSR,IRS1,JUN,KDM5A,LEF1,MAP3K8,MAPK1,MED1,MTOR,MYC,MYO5A,NFE2L2,NFKBIA,nitric oxide,NLRP3,NOS3,NR4A1,NRF1,POU5F1,PPARD,PPARGC1A,PPIA,PRKG1,PTEN,relaxin,RPS6KA1,SMAD2/3 (family),SREBF1,STAT3,STK11,TAL1,THRA,TP53,TP73,TXNIP,VEGF (family),YAP1	 	121 (57)	56	 	 	 	 	 	 	 	 	 	
CRUMBS (complex)	complex	3	 	 	0.000	2.23E-09	1.00E-03	AKT (family),CDC42,CRUMBS (complex),ERK1/2 (family),GSK3B,HK2,MAPT,PARD3,PATJ,PRKCI,PTEN,RAC1,RHOA,STAT3,WWTR1,YAP/TAZ (family),YAP1	 	55 (17)	15	 	 	 	YAP/TAZ (family)	 	 	 	 	 	
AA-861	chemical reagent	3	 	 	0.000	2.23E-09	1.23E-02	AA-861,Alox15,ALOX5,ARG1,EIF2AK3,ERK1/2 (family),JNK (family),MAP2K1,MAPK8,MYC,P38 MAPK (family),PKC (family),PPARG,TGFB1,TP53	 	86 (15)	14	 	 	 	IGF1R	ALOX5,PTGS2,reactive oxygen species	 	 	 	 	
GKAP1	other	3	 	 	0.000	2.24E-09	1.79E-02	ACHE,AKT (family),AKT1,BCL2,CCND1,CDKN1B,CEBPB,CHUK,CREB (family),CREB1,disulfiram,EGFR,ESR1,ESR2,FOXC1,GKAP1,GSK3B,HIF1A,HMGA1,HSF1,INSR,INSULIN (family),IRS1,IRS2,JUN,LEF1,MAP3K8,MAPK1,MED1,MEK (family),MTOR,MYC,MYO5A,NFE2L2,NFKBIA,NLRP3,NR4A1,NRF1,P38 MAPK (family),PI3K (complex),POU5F1,PPARD,PPARGC1A,PPIA,PTEN,RPS6KA1,SMAD2/3 (family),SREBF1,STAT3,STK11,TAL1,THRA,TP53,TP73,TXNIP,VEGF (family),YAP1	 	121 (57)	56	 	 	 	 	 	 	 	 	 	
PID1	other	3	 	 	0.000	2.24E-09	1.79E-02	ACHE,AKT (family),AKT1,BCL2,CCND1,CDKN1B,CEBPB,CHUK,CREB (family),CREB1,disulfiram,EGFR,ESR1,ESR2,FOXC1,GSK3B,HIF1A,HMGA1,HSF1,INSR,INSULIN (family),IRS1,IRS2,JUN,LEF1,MAP3K8,MAPK1,MED1,MEK (family),MTOR,MYC,MYO5A,NFE2L2,NFKBIA,NLRP3,NR4A1,NRF1,P38 MAPK (family),PI3K (complex),PID1,POU5F1,PPARD,PPARGC1A,PPIA,PTEN,RPS6KA1,SMAD2/3 (family),SREBF1,STAT3,STK11,TAL1,THRA,TP53,TP73,TXNIP,VEGF (family),YAP1	 	121 (57)	56	 	IL13	 	 	 	 	 	 	 	
BCKDHA	enzyme	3	 	 	0.000	2.25E-09	3.96E-02	AKT1,AKT2,ALDH2,AR,BCKDHA,BCL2,BHLHE40,CCND1,CDKN1B,CLOCK,CREB1,DDX5,E2F1,EGFR,EIF2AK3,EIF4E,EPRS1,ERBB2,ESR1,ESR2,GLI1,GSK3B,H2AX,HNF4A,IGF1R,IGG2A (complex),IL6,JUN,KLF4,MAP2K1,MYC,MYO5A,NTRK1,P38 MAPK (family),PGR,PTEN,RB1,RET,RPS6KA1,SATB1,SOX2,SP1,STAT3,STING1,TNFSF11,TP53,TP73,TRAPPC1,VIM,YAP1,ZFP36L1	 	129 (51)	49	INSULIN (family),sirolimus,UCP1	4-phenylbutyric acid,doxorubicin,MACROD1,palmitic acid	 	citric acid,L-methionine,PDK1,Scd1,TP53	NPPB	 	 	 	 	
PRKAG3	kinase	3	 	 	0.000	2.26E-09	1.81E-02	ACHE,AKT (family),AKT1,BCL2,CCND1,CDKN1B,CEBPB,CHUK,CREB (family),CREB1,disulfiram,EGFR,ESR1,ESR2,FOXC1,GSK3B,HIF1A,HMGA1,HSF1,INSR,INSULIN (family),IRS1,IRS2,JUN,LEF1,MAP3K8,MAPK1,MED1,MEK (family),MTOR,MYC,MYO5A,NFE2L2,NFKBIA,NLRP3,NR4A1,NRF1,P38 MAPK (family),PI3K (complex),POU5F1,PPARD,PPARGC1A,PPIA,PRKAG3,PTEN,RPS6KA1,SMAD2/3 (family),SREBF1,STAT3,STK11,TAL1,THRA,TP53,TP73,TXNIP,VEGF (family),YAP1	 	121 (57)	56	 	doxorubicin	 	glycogen	 	 	 	 	 	
ULK1	kinase	3	 	 	0.000	2.28E-09	1.04E-02	AKT1,AMBRA1,AR,BACH1,BECN1,CCND1,CDC37,EGFR,EIF2AK1,EPHA2,ERBB2,FUNDC1,GATA4,GLI1,GSK3B,HRAS,IKBKB,IRF8,KEAP1,LEF1,MAP2K1,MAP3K7,MAPK1,MAPK8,MAPT,MFN2,MTOR,MYC,NFE2L2,NLRP3,P38 MAPK (family),PRKCA,PSMD2,RB1,RB1CC1,SDCBP,SOX4,SQSTM1,SRF,TAB2,TEAD1,TEAD2,TEAD3,TEAD4,TP53,TP73,ULK1,YAP1	 	94 (48)	40	AGER,amino acids,astragaloside IV,decitabine,ELAVL4,gemigliptin,INSULIN (family),L-methionine,naringenin,nelfinavir,NOTCH1,PDPK1,TGFB1,thioridazine,TP53	AZD5438,AZD8055,CBLB,CBLC,doxorubicin,LOC105371773,mepazine,MLST8,MTORC1 (complex),PNPLA2,RNF157-AS1,RPS6KB1,SB203580,sirolimus,TRIB3,TWF1	 	ATG14,PSMD2,SDCBP	CASP3,IL1B,MARCHF8,SH3PXD2A,YAP1	 	 	 	 	
MUC19	other	3	 	 	0.000	2.28E-09	1.81E-02	ACHE,AKT (family),AKT1,BCL2,CCND1,CDKN1B,CEBPB,CHUK,CREB (family),CREB1,disulfiram,EGFR,ESR1,ESR2,FOXC1,GSK3B,HIF1A,HMGA1,HSF1,INSR,INSULIN (family),IRS1,IRS2,JUN,LEF1,MAP3K8,MAPK1,MED1,MEK (family),MTOR,MUC19,MYC,MYO5A,NFE2L2,NFKBIA,NLRP3,NR4A1,NRF1,P38 MAPK (family),PI3K (complex),POU5F1,PPARD,PPARGC1A,PPIA,PTEN,RPS6KA1,SMAD2/3 (family),SREBF1,STAT3,STK11,TAL1,THRA,TP53,TP73,TXNIP,VEGF (family),YAP1	 	121 (57)	56	 	 	 	 	IL1B	 	 	 	 	
UGT1A1	enzyme	3	 	 	0.000	2.29E-09	1.70E-03	ACHE,ADAM17,AKT (family),EGFR,ERK (family),irinotecan,JNK (family),KLF4,MMP2,NFKB (complex),NFKBIA,P38 MAPK (family),SN-38,SRC,STAT1,STAT3,TOP1,UGT1A1,VCP	 	62 (19)	18	CGA,MAPK (family),OSM	calphostin C,IL1B,indinavir,nelfinavir	 	 	SN-38	 	 	 	 	
2,5-dihydroxymethylcinnamate	chemical - kinase inhibitor	3	 	 	0.000	2.33E-09	1.88E-02	2,5-dihydroxymethylcinnamate,ACHE,AKT (family),AKT1,BCL2,CCND1,CDKN1B,CEBPB,CHUK,CREB (family),disulfiram,doxorubicin,EGFR,ESR1,ESR2,EZH2,FOXC1,FOXO3,GSK3B,HIF1A,HSF1,INSR,IRS1,JUN,KDM5A,LEF1,MAP3K8,MAPK1,MED1,MTOR,MYC,MYO5A,NFE2L2,NFKBIA,nitric oxide,NLRP3,NOS3,NR4A1,NRF1,POU5F1,PPARD,PPARGC1A,PPIA,PRKG1,PTEN,RPS6KA1,SMAD2/3 (family),SREBF1,STAT3,STK11,TAL1,THRA,TP53,TP73,TXNIP,VEGF (family),YAP1	 	121 (57)	56	 	 	 	EDN1	 	 	 	 	 	
P4HA3	enzyme	3	 	 	0.000	2.35E-09	2.64E-02	ACHE,AKT (family),AKT1,AR,ATF4,BCL2,CCND1,CEBPB,CHUK,CREB (family),disulfiram,EGFR,ESR1,ESR2,EZH2,FOXC1,FOXO1,FOXO3,GSK3B,HIF1A,HSF1,IRS (family),IRS2,JUN,LEF1,MAP3K8,MAPK1,MED1,MLXIPL,MTOR,MYC,MYO5A,NFE2L2,NFKBIA,NLRP3,NR1I2,NR4A1,NRF1,P4HA3,PI3K (complex),POU5F1,PPARD,PPARG,PPARGC1A,PPRC1,PTEN,RPS6KA1,SIRT1,SMAD2/3 (family),SOD2,SREBF1,STAT3,STK11,TAL1,THRA,TP53,TP73,TXNIP,VEGF (family),YAP1	 	123 (60)	58	 	 	 	 	 	 	 	 	 	
TFE3	transcription regulator	3	 	 	0.000	2.36E-09	4.50E-03	ACHE,AKT (family),APP,AR,BCL2,CCND1,CDKN1B,CREB (family),D-glucose,disulfiram,E2F1,EGFR,EIF4E,ESR1,ESR2,EZH2,FOXC1,FOXM1,GSK3B,HEXOKINASE (family),HIF1A,HMGA1,HSF1,IGF1R,IL1B,INSR,INSULIN (family),IRS2,JUP,KAT5,LEF1,MAP2K1,MAP3K8,MAPK1,MED1,MITF,MTOR,MYC,MYO5A,NCOA1,NFE2L2,NR4A1,P70 S6K (family),PGR,PI3K (complex),POU5F1,PPARA,PPARD,PPARG,PPARGC1A,RPS6KA1,SMAD2/3 (family),SRF,STK11,TAL1,TFE3,TNF,TP53,TP73,TXNIP,VEGF (family),VEGFA,YAP1	 	121 (63)	62	sodium arsenite	BACH1,CSF1,TRIM28	 	ENO1,HMGA2,INSIG1,LAMP1,P70 S6K (family),reactive oxygen species,SOX2,VIM,VPS35	PNPLA2,Scd1	 	 	 	 	
SOX2	transcription regulator	3	 	 	0.000	2.36E-09	4.76E-02	ACHE,AKT (family),AKT1,ALDH2,BHLHE40,CCND1,CDKN1B,CREB (family),disulfiram,DNMT3A,E2F1,EGFR,EGR2,EIF2AK3,EIF4E,ERBB2,ESR1,ESR2,FOXC1,GLI1,GSK3B,HNF4A,HSF1,IGF1R,IL6,LEF1,MAP2K1,MAPK1,MYO5A,NOTCH1,NR3C1,NR4A1,NRF1,NTRK1,P38 MAPK (family),PGR,PPARD,PPARG,PPARGC1A,PTEN,RPS6KA1,SMAD2/3 (family),SOD2,SOX2,SREBF1,STING1,STK11,TAL1,TERT,TP53,TP73,VEGF (family),YAP1	 	133 (53)	53	5-N-ethylcarboxamido adenosine,AGK,ALKBH5,carboplatin,CAV1,cordycepin,CPT1 (family),DLX1,DVL3,EHD1,EPAS1,ESR2,FGF1,FGF8,GMNN,HBEGF,HMGA2,HMMR,IGF2BP2,IL13,ILF2,KIF4A,LIN28A,MELK,METTL3,MUC1,PARK7,PDPK1,PIK3CD,PRRX1,SC79,SIRT3,SMYD3,SNAI2,TET2,TFE3,TMPRSS4,TRIM28,UBE2C,USP17L2,Z-LLL-CHO	CVT-313,daporinad,ERK1/2 (family),erteberel,FBXW7,HOXA5,HTATIP2,idelalisib,INSR,lapatinib,manganese,miR-129-5p (and other miRNAs w/seed UUUUUGC),mir-142 (includes others),mir-34 (includes others),miR-34a-5p (and other miRNAs w/seed GGCAGUG),MK2206,NKX2-3,NRG1,plerixafor,sevoflurane,stattic,tamoxifen,vismodegib,WDR5	 	ABCC6,ACOD1,AFAP1L2,ALOX5,ALP (family),BIRC5,CCL20,CD9,CDKN1A,CLCN3,CNP,CTNNAL1,DNM2,EGFR,INPPL1,KAT2A,LPAR1,MARCHF8,MYCN,NF2,PDK1,PIK3R1,PRDM1,S1PR5,SEMA3D,SKP2,SPRY4,SS18,ZNF148	ALB,AMOT,ANGPT1,AXIN2,BGLAP,CCN4,CITED1,CXCR4,DUSP1,FABP2,FGF3,mir-148 (includes others),mir-17 (includes others),mir-30 (includes others),MYD88,PPP2CA,TEAD2,TF,USP18,XIST	 	 	 	 	
PI4K2A	kinase	3	 	 	0.000	2.40E-09	2.77E-02	ACHE,AKT (family),AKT1,AR,BCL2,CAV1,CCND1,CDKN1B,CEBPB,CHUK,CREB (family),CYCLIN E (family),disulfiram,EGFR,ERBB2,ESR1,ESR2,FOXC1,FOXO3,GAB1,GSK3B,HIF1A,HSF1,IRS1,ITGB1,JUN,KDM5A,LEF1,MAP3K8,MED1,MTOR,MYC,MYO5A,NFE2L2,NFKBIA,NLRP3,NR4A1,NRF1,P38 MAPK (family),PI3K (complex),PI4K2A,POU5F1,PPARD,PPARG,PPARGC1A,PPIA,PTEN,RPS6KA1,SMAD2/3 (family),SREBF1,STAT3,STAT5B,STK11,TAL1,tamoxifen,THRA,TP53,TP73,TXNIP,VEGF (family),YAP1	 	125 (61)	60	G PROTEIN ALPHA (family)	mocravimod	 	 	 	 	 	 	 	
hydrogen sulfide	chemical - endogenous mammalian	2	 	 	0.000	2.46E-09	8.00E-04	AKT (family),AKT1,hydrogen sulfide,IRS1,MAPK1,MAPK14,MAPK3,PI3K (complex),PRKCE,PTEN,STAT3	 	52 (11)	10	SKF-38393	aminooxyacetic acid,polypropylene glycol	 	PKG (family),PTGS2	CXCL8,CYTOCHROME-C OXIDASE (complex),MAPK1	 	 	 	 	
NUS1	enzyme	3	 	 	0.000	2.52E-09	2.90E-03	ACHE,AKT (family),APP,AR,ATF4,BCL2,CCND1,CDKN1B,CREB (family),disulfiram,E2F1,EGFR,EIF2A,ESR1,ESR2,EZH2,FOXC1,FOXM1,FOXO3,GSK3B,HNF1B,HSF1,IGF1R,INSR,JUP,KAT5,LEF1,MAP2K1,MAP3K8,MAPK1,MED1,MITF,MTOR,MUC1,MYC,MYO5A,NCOA1,NFE2L2,NR4A1,NRF1,NUS1,PGR,PI3K (complex),POU5F1,PPARA,PPARD,PPARG,PPARGC1A,RPS6KA1,SMAD2/3 (family),SRF,STAT3,STK11,TAL1,TP53,TP73,TXNIP,VEGF (family),VHL,YAP1	 	112 (60)	58	F2	 	 	 	 	 	 	 	 	
CCM (complex)	complex	3	 	 	0.000	2.54E-09	1.09E-02	ABL1,AKT (family),CCM (complex),CCM2,CDC42,CDKN1B,CHUK,CUL3,ERK1/2 (family),FHL2,HRAS,IRS1,JNK (family),KRIT1,MAP2K1/2 (family),MAPK1,MAPK14,MAPK3,MAPK8,MRTFA,MYCN,NFAT5,P38 MAPK (family),PDCD10,PPARG,RAF1,RELA,RHOA,ROCK2,SLC9A1,SRF,STAT3,TEK,TGF BETA (family),TP53,YAP1	 	84 (36)	33	 	 	 	 	 	 	 	 	 	
